,Departure,95,90,80,70
0,06:17,61.00833333333333,60.153333333333336,44.15,41.28666666666667
1,06:27,51.00833333333333,50.153333333333336,34.15,31.286666666666665
2,06:37,61.45166666666667,60.88333333333333,59.54,41.986666666666665
3,06:47,51.45166666666667,50.88333333333333,49.68,32.04
4,06:57,61.75833333333333,61.14,60.47,60.13666666666666
5,07:18,61.339166666666664,60.55,59.916666666666664,59.43333333333333
6,07:28,51.969999999999985,50.65833333333333,50.0,49.525
7,07:38,59.443333333333335,58.50666666666667,40.61666666666667,40.0
8,07:48,62.759999999999714,51.94,50.12,49.35
9,07:58,99.94,99.14999999999999,98.65,98.43666666666667
10,08:08,90.62666666666667,89.88666666666667,89.2,88.98333333333333
11,08:18,80.62666666666667,79.88666666666667,79.33,79.06
12,08:28,70.62666666666667,69.88666666666667,69.33,69.06
13,08:38,60.62666666666666,59.88666666666666,59.330000000000005,59.06
14,08:48,50.62666666666666,49.88666666666666,49.330000000000005,49.06
15,08:58,69.57999999999983,40.77,39.57333333333334,39.093333333333334
16,09:08,89.30333333333333,89.00333333333333,88.73,88.29666666666667
17,09:18,81.84333333333332,79.72,79.18333333333334,78.96666666666667
18,09:38,66.09333333333329,59.93333333333333,59.233333333333334,58.97666666666667
19,10:03,94.23583333333333,93.49833333333333,43.886666666666684,34.37833333333333
20,10:23,77.97833333333334,76.38333333333333,74.75333333333333,74.5
21,10:43,57.97833333333333,56.38333333333333,54.803333333333335,54.51
22,11:03,94.70666666666665,94.45,39.42333333333334,35.468333333333334
23,11:23,76.56833333333333,75.41333333333333,75.07000000000001,74.71666666666667
24,11:43,56.568333333333335,55.413333333333334,55.07,54.71666666666667
25,12:03,96.06333333333333,95.09333333333333,94.43333333333334,94.13333333333334
26,12:23,76.36666666666666,76.05,75.2,74.79666666666667
27,12:43,56.36666666666667,56.05,55.2,54.79666666666667
28,13:03,76.16499999999999,75.26666666666667,74.54666666666667,74.28999999999999
29,13:23,57.36166666666666,56.25,55.56,55.11666666666667
30,13:43,57.733333333333334,55.99333333333333,55.03666666666667,54.53
31,14:03,56.086666666666666,55.32,54.973333333333336,54.71
32,14:18,60.11166666666666,59.443333333333335,43.05000000000002,40.35333333333333
33,14:28,53.67999999999999,51.8,50.88666666666666,50.111666666666665
34,14:38,60.388333333333335,59.806666666666665,58.583333333333336,41.32666666666667
35,14:48,52.00833333333333,51.32333333333334,50.53,50.276666666666664
36,14:58,60.755,60.18833333333333,59.16,41.75833333333333
37,15:08,51.329166666666666,51.07666666666667,50.54333333333333,50.245
38,15:18,60.73416666666667,60.26,58.85333333333333,41.09666666666667
39,15:28,55.699999999999974,52.23,50.876666666666665,50.46666666666667
40,15:38,60.336666666666666,59.60666666666667,47.65000000000001,41.10333333333333
41,15:48,53.60333333333334,52.01,50.82333333333334,50.373333333333335
42,15:58,61.889999999999986,60.57166666666667,58.653333333333336,41.92166666666667
43,16:08,69.88333333333333,57.88833333333329,50.943333333333335,50.53
44,16:18,62.7925,60.29833333333333,59.486666666666665,56.51833333333331
45,16:28,54.318333333333314,52.05,50.49,49.99666666666667
46,16:38,60.60416666666667,58.99166666666666,42.083333333333336,40.51
47,16:48,51.1575,50.84666666666667,50.18,49.75
48,17:08,93.11749999999998,91.13166666666666,90.17666666666666,89.595
49,17:33,71.07916666666665,66.38499999999999,65.61666666666666,65.09833333333333
50,17:53,52.8825,46.52166666666667,45.656666666666666,45.098333333333336
51,18:13,86.04833333333333,85.56666666666666,84.98,84.81666666666666
52,18:33,66.10499999999999,65.62166666666667,65.12,64.81666666666666
53,18:53,55.99916666666619,45.89833333333333,45.24666666666667,44.833333333333336
54,19:13,85.97916666666667,85.43166666666667,85.13333333333334,84.915
55,19:33,65.97916666666667,65.43166666666667,65.13333333333334,64.915
56,19:53,45.983333333333334,45.43666666666667,45.11666666666667,44.90333333333333
