,Departure,95,90,80,70
0,06:17,42.68499999999999,41.60666666666667,40.906666666666666,40.64666666666667
1,06:27,51.14666666666667,50.27333333333333,34.15,31.203333333333333
2,06:37,44.22666666666667,42.013333333333335,41.346666666666664,40.84666666666667
3,06:47,51.45166666666667,50.51,49.57,32.04
4,06:57,60.61833333333333,59.48666666666667,41.910000000000004,41.42333333333333
5,07:18,41.97999999999997,40.705000000000005,40.11333333333334,39.781666666666666
6,07:28,51.339166666666664,50.574999999999996,49.96666666666667,49.43333333333333
7,07:38,59.263333333333335,51.83166666666664,40.44333333333333,39.91
8,07:48,52.616666666666646,50.56666666666666,49.79333333333334,49.276666666666664
9,07:58,99.78,98.8,98.43,48.56999999999999
10,08:08,90.62666666666667,89.88666666666667,89.2,88.87
11,08:18,80.62666666666667,79.88666666666667,79.33,79.06
12,08:28,70.62666666666667,69.88666666666667,69.33,69.06
13,08:38,60.62666666666666,59.88666666666666,59.330000000000005,59.06
14,08:48,50.62666666666666,49.88666666666666,49.330000000000005,49.06
15,08:58,42.238333333333316,39.98,39.403333333333336,39.06666666666667
16,09:08,89.12833333333333,88.97,88.32000000000001,30.330000000000002
17,09:18,81.84333333333332,79.72,79.18333333333334,78.96666666666667
18,09:38,66.09333333333329,59.93333333333333,59.233333333333334,58.97666666666667
19,10:03,53.881666666666646,34.95666666666666,34.233333333333334,33.983333333333334
20,10:23,77.97833333333334,76.38333333333333,74.75333333333333,74.5
21,10:43,57.97833333333333,56.38333333333333,54.803333333333335,54.51
22,11:03,37.9925,36.391666666666666,34.81333333333333,34.515
23,11:23,76.56833333333333,75.41333333333333,75.07000000000001,74.71666666666667
24,11:43,56.568333333333335,55.413333333333334,55.07,54.71666666666667
25,12:03,94.26833333333333,93.99333333333334,36.73666666666667,35.21
26,12:23,76.36666666666666,76.05,75.2,74.79666666666667
27,12:43,56.36666666666667,56.05,55.2,54.79666666666667
28,13:03,46.29833333333316,36.400000000000006,35.61,34.986666666666665
29,13:23,57.36166666666666,56.25,55.56,55.11666666666667
30,13:43,56.66666666666666,55.99333333333333,55.19,54.53
31,14:03,56.086666666666666,55.13666666666667,53.77,36.416666666666664
32,14:18,59.169999999999995,42.366666666666674,40.446666666666665,40.00666666666667
33,14:28,53.67999999999999,51.8,50.88666666666666,50.06333333333333
34,14:38,60.388333333333335,59.806666666666665,50.370000000000076,41.09666666666667
35,14:48,52.00833333333333,51.32333333333334,50.53,50.276666666666664
36,14:58,60.05583333333333,59.63333333333333,42.86333333333333,40.89666666666667
37,15:08,51.1075,50.81166666666667,50.29666666666667,50.031666666666666
38,15:18,60.30583333333333,59.24666666666666,41.06666666666667,40.445
39,15:28,53.57833333333331,51.54333333333333,50.75666666666667,50.42833333333333
40,15:38,59.67916666666666,51.49499999999997,41.68333333333334,40.71666666666667
41,15:48,53.14666666666667,51.61333333333334,50.74,50.3
42,15:58,60.901666666666664,59.54333333333333,43.17333333333333,41.06166666666667
43,16:08,52.187499999999986,51.005,50.553333333333335,50.075
44,16:18,60.485,58.656666666666666,41.31666666666667,40.67333333333333
45,16:28,57.039166666666624,52.135,50.49,49.95
46,16:38,60.425,53.93999999999998,41.03,40.43666666666667
47,16:48,51.093333333333334,50.60666666666667,49.876666666666665,49.730000000000004
48,17:08,93.11749999999998,90.95666666666666,90.11,89.45
49,17:33,70.27083333333333,66.38499999999999,65.61666666666666,65.09833333333333
50,17:53,50.27083333333333,46.385,45.61666666666667,45.098333333333336
51,18:13,86.04833333333333,85.56666666666666,84.98,84.81333333333333
52,18:33,66.10499999999999,65.62166666666667,65.12,64.81666666666666
53,18:53,46.83,45.79,45.21,44.83166666666667
54,19:13,85.97916666666667,85.43166666666667,85.13333333333334,84.915
55,19:33,65.97916666666667,65.43166666666667,65.13333333333334,64.915
56,19:53,45.983333333333334,45.43666666666667,45.11666666666667,44.90333333333333
